date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,stats_player_seq,season
02/27/2016,home,12360,280,Hillsdale,9,True,6,3,3,win,6 - 3,293886,52,2,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1653731,2016
02/27/2016,home,12360,934,Alderson Broaddus,9,True,1,2,-1,loss,1 - 2,293887,52,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653731,2016
02/28/2016,home,12360,280,Hillsdale,11,True,19,21,-2,loss,19 - 21,294448,52,2,6,2,0,0,0,0,2,1,0,0,0,1,0,0,0,1,0,1653731,2016
02/28/2016,home,12360,934,Alderson Broaddus,9,True,7,6,1,win,7 - 6,294566,52,1,4,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1653731,2016
03/02/2016,away,12360,30013,Lee,9,True,1,9,-8,loss,1 - 9,294902,52,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1653731,2016
03/02/2016,away,12360,30013,Lee,9,True,4,0,4,win,4 - 0,294920,52,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653731,2016
03/05/2016,home,12360,561,Quincy,9,True,0,6,-6,loss,0 - 6,295711,52,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653731,2016
03/05/2016,home,12360,561,Quincy,9,True,4,11,-7,loss,4 - 11,295727,52,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1653731,2016
03/06/2016,home,12360,561,Quincy,9,True,3,8,-5,loss,3 - 8,296097,52,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1653731,2016
03/06/2016,home,12360,561,Quincy,9,True,6,2,4,win,6 - 2,296107,52,1,2,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,1653731,2016
03/11/2016,away,12360,30002,Trevecca Nazarene,9,True,5,1,4,win,5 - 1,296927,52,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1653731,2016
03/12/2016,away,12360,30002,Trevecca Nazarene,9,True,18,2,16,win,18 - 2,297352,52,0,3,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1653731,2016
03/12/2016,away,12360,30002,Trevecca Nazarene,9,True,3,4,-1,loss,3 - 4,297447,52,0,3,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1653731,2016
03/18/2016,home,12360,510,Northwood,9,True,5,8,-3,loss,5 - 8,298946,52,1,4,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1653731,2016
03/18/2016,home,12360,510,Northwood,9,True,11,1,10,win,11 - 1,298969,52,2,5,3,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1653731,2016
03/19/2016,home,12360,510,Northwood,9,True,8,1,7,win,8 - 1,299427,52,0,3,2,1,0,0,0,3,0,0,0,0,0,0,0,0,1,0,1653731,2016
03/25/2016,away,12360,661,Southern Ind.,9,True,1,12,-11,loss,1 - 12,300839,52,0,3,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1653731,2016
03/25/2016,away,12360,661,Southern Ind.,9,True,0,4,-4,loss,0 - 4,300912,52,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1653731,2016
03/26/2016,away,12360,661,Southern Ind.,9,True,6,3,3,win,6 - 3,301293,52,0,3,1,0,0,0,0,0,1,0,0,0,2,0,1,0,1,0,1653731,2016
03/26/2016,away,12360,661,Southern Ind.,9,True,6,10,-4,loss,6 - 10,301452,52,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653731,2016
03/28/2016,home,12360,436,Mo.-St. Louis,9,True,4,7,-3,loss,4 - 7,301691,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653731,2016
03/29/2016,home,12360,436,Mo.-St. Louis,9,True,5,8,-3,loss,5 - 8,301911,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1653731,2016
04/02/2016,home,12360,30138,McKendree,9,True,7,6,1,win,7 - 6,302834,52,0,2,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1653731,2016
