date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,DP,CS,Picked,SB,IBB,stats_player_seq,season
02/17/2017,away,12560,624,Sam Houston,9,True,0,1,-1,loss,0 - 1,205889,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
02/18/2017,away,12560,624,Sam Houston,10,True,5,4,1,win,5 - 4,206080,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
02/19/2017,away,12560,624,Sam Houston,9,True,2,8,-6,loss,2 - 8,206509,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
02/20/2017,away,12560,51,Baylor,9,True,0,6,-6,loss,0 - 6,206695,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
02/24/2017,home,12560,742,Virginia Tech,9,True,7,8,-1,loss,7 - 8,207159,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
02/24/2017,home,12560,742,Virginia Tech,9,True,7,4,3,win,7 - 4,207169,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
02/25/2017,home,12560,742,Virginia Tech,9,True,5,8,-3,loss,5 - 8,207585,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
02/26/2017,home,12560,742,Virginia Tech,9,True,10,24,-14,loss,10 - 24,207668,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/03/2017,away,12560,96,Fresno St.,9,True,2,3,-1,loss,2 - 3,208272,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/04/2017,away,12560,96,Fresno St.,9,True,10,8,2,win,10 - 8,208530,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/05/2017,away,12560,96,Fresno St.,9,True,5,9,-4,loss,5 - 9,209027,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/07/2017,away,12560,610,Saint Mary's (CA),9,True,0,4,-4,loss,0 - 4,209566,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/10/2017,home,12560,626,San Diego St.,9,True,2,7,-5,loss,2 - 7,210099,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/11/2017,home,12560,626,San Diego St.,9,True,3,7,-4,loss,3 - 7,210466,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/12/2017,home,12560,626,San Diego St.,9,True,7,3,4,win,7 - 3,210874,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/14/2017,home,12560,102,Sacramento St.,9,True,5,7,-2,loss,5 - 7,211294,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/15/2017,home,12560,732,Utah,9,True,9,4,5,win,9 - 4,211461,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/17/2017,away,12560,630,San Jose St.,12,True,5,6,-1,loss,5 - 6,211740,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/18/2017,away,12560,630,San Jose St.,9,True,6,7,-1,loss,6 - 7,212055,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/19/2017,away,12560,630,San Jose St.,10,True,5,6,-1,loss,5 - 6,212529,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/21/2017,away,12560,629,San Francisco,9,True,1,7,-6,loss,1 - 7,213014,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/24/2017,home,12560,721,Air Force,9,True,10,2,8,win,10 - 2,213413,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
03/25/2017,home,12560,721,Air Force,9,True,3,7,-4,loss,3 - 7,213773,466,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1768312,2017
