date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,R,AB,H,2B,3B,TB,HR,RBI,BB,HBP,SF,SH,K,OPP DP,CS,Picked,SB,IBB,GDP,stats_player_seq,season
02/18/2022,away,15860,173,Davidson,9,True,5,0,5,win,5 - 0,5207970,352,1,5,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
02/19/2022,away,15860,173,Davidson,9,True,6,10,-4,loss,6 - 10,5212533,352,0,5,1,0,0,1,0,1,0,0,0,0,3,0,0,0,0,0,0,2484869,2022
02/20/2022,away,15860,173,Davidson,9,True,6,9,-3,loss,6 - 9,5212535,352,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2484869,2022
02/26/2022,home,15860,450,Mount St. Mary's,9,True,4,1,3,win,4 - 1,5217449,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
02/26/2022,home,15860,450,Mount St. Mary's,9,True,15,9,6,win,15 - 9,5217453,352,2,4,1,1,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,2484869,2022
02/27/2022,home,15860,450,Mount St. Mary's,9,True,4,5,-1,loss,4 - 5,5218724,352,0,4,1,0,0,1,0,1,0,0,0,0,2,0,0,0,0,0,0,2484869,2022
02/27/2022,home,15860,450,Mount St. Mary's,9,True,5,1,4,win,5 - 1,5218727,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
03/04/2022,away,15860,178,Delaware St.,9,True,0,1,-1,loss,0 - 1,5226485,352,0,3,1,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,0,2484869,2022
03/05/2022,away,15860,178,Delaware St.,9,True,5,8,-3,loss,5 - 8,5226487,352,0,4,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2484869,2022
03/06/2022,away,15860,178,Delaware St.,9,True,7,3,4,win,7 - 3,5226468,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
03/11/2022,away,15860,741,VMI,9,True,8,0,8,win,8 - 0,5231028,352,1,3,2,0,0,5,1,2,0,0,0,0,1,0,0,0,0,0,0,2484869,2022
03/11/2022,away,15860,741,VMI,9,True,7,11,-4,loss,7 - 11,5231553,352,0,4,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,2484869,2022
03/15/2022,away,15860,222,Fairleigh Dickinson,9,True,15,7,8,win,15 - 7,5235436,352,0,3,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,2484869,2022
03/16/2022,home,15860,617,Saint Peter's,9,True,19,6,13,win,19 - 6,5236428,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
03/18/2022,home,15860,596,St. Bonaventure,9,True,5,1,4,win,5 - 1,5238561,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
03/19/2022,home,15860,596,St. Bonaventure,9,True,12,5,7,win,12 - 5,5238969,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
03/19/2022,home,15860,596,St. Bonaventure,9,True,9,5,4,win,9 - 5,5239694,352,1,4,2,0,1,4,0,1,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
03/20/2022,home,15860,596,St. Bonaventure,9,True,8,1,7,win,8 - 1,5244953,352,1,4,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
03/23/2022,away,15860,540,Penn,9,True,6,16,-10,loss,6 - 16,5243690,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
03/26/2022,away,15860,342,Lafayette,9,True,1,0,1,win,1 - 0,5245919,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
03/26/2022,away,15860,342,Lafayette,9,True,6,7,-1,loss,6 - 7,5247200,352,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2484869,2022
03/27/2022,away,15860,342,Lafayette,9,True,4,7,-3,loss,4 - 7,5250840,352,0,3,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,2484869,2022
03/27/2022,away,15860,342,Lafayette,9,True,1,5,-4,loss,1 - 5,5248071,352,1,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,2484869,2022
03/29/2022,home,15860,576,Rider,9,True,0,3,-3,loss,0 - 3,5251366,352,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2484869,2022
04/02/2022,home,15860,726,Navy,9,True,10,4,6,win,10 - 4,5263470,352,0,4,3,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
04/02/2022,home,15860,726,Navy,9,True,3,9,-6,loss,3 - 9,5253223,352,0,3,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2484869,2022
04/03/2022,home,15860,83,Bucknell,9,True,8,14,-6,loss,8 - 14,5254476,352,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2484869,2022
04/03/2022,home,15860,83,Bucknell,9,True,5,4,1,win,5 - 4,5255003,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
04/05/2022,away,15860,606,Saint Joseph's,9,True,11,15,-4,loss,11 - 15,5262826,352,1,2,2,2,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
04/09/2022,home,15860,725,Army West Point,9,True,1,3,-2,loss,1 - 3,5258856,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
04/09/2022,home,15860,725,Army West Point,9,True,3,2,1,win,3 - 2,5259628,352,0,4,2,0,0,2,0,1,0,0,0,0,1,0,0,0,0,0,0,2484869,2022
04/10/2022,home,15860,725,Army West Point,9,True,4,14,-10,loss,4 - 14,5260738,352,0,4,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
04/16/2022,away,15860,726,Navy,9,True,13,12,1,win,13 - 12,5266984,352,2,4,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2484869,2022
04/17/2022,away,15860,726,Navy,9,True,4,11,-7,loss,4 - 11,5267827,352,1,3,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2484869,2022
04/17/2022,away,15860,726,Navy,10,True,2,3,-1,loss,2 - 3,5267907,352,0,2,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2484869,2022
04/20/2022,home,15860,342,Lafayette,9,True,7,4,3,win,7 - 4,5269755,352,0,4,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,0,2484869,2022
04/23/2022,away,15860,83,Bucknell,9,True,14,4,10,win,14 - 4,5271954,352,2,3,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,2484869,2022
04/23/2022,away,15860,83,Bucknell,9,True,3,2,1,win,3 - 2,5273013,352,1,3,2,1,0,3,0,0,0,0,0,0,1,0,0,0,0,0,0,2484869,2022
04/24/2022,away,15860,83,Bucknell,9,True,3,20,-17,loss,3 - 20,5276669,352,1,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2484869,2022
04/28/2022,home,15860,1305,Cairn,9,True,9,4,5,win,9 - 4,5277550,352,1,5,1,0,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0,2484869,2022
04/30/2022,home,15860,285,Holy Cross,10,True,3,5,-2,loss,3 - 5,5280029,352,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,2484869,2022
04/30/2022,home,15860,285,Holy Cross,9,True,6,2,4,win,6 - 2,5279945,352,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2484869,2022
05/01/2022,home,15860,285,Holy Cross,9,True,17,6,11,win,17 - 6,5280794,352,2,4,1,0,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,2484869,2022
05/04/2022,away,15860,617,Saint Peter's,9,True,6,4,2,win,6 - 4,5282629,352,1,3,1,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,0,2484869,2022
05/07/2022,away,15860,725,Army West Point,9,True,3,10,-7,loss,3 - 10,5284636,352,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
05/07/2022,away,15860,725,Army West Point,9,True,12,5,7,win,12 - 5,5284689,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
05/08/2022,away,15860,285,Holy Cross,9,True,6,4,2,win,6 - 4,5285568,352,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2484869,2022
05/08/2022,away,15860,285,Holy Cross,9,True,1,8,-7,loss,1 - 8,5285369,352,1,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,2484869,2022
05/14/2022,away,15860,83,Bucknell,9,True,8,10,-2,loss,8 - 10,5287550,352,1,4,1,0,0,1,0,2,0,0,0,0,1,0,0,0,0,0,0,2484869,2022
05/15/2022,away,15860,83,Bucknell,9,True,4,7,-3,loss,4 - 7,5287928,352,1,3,2,0,0,5,1,2,1,0,0,0,0,0,0,0,0,0,0,2484869,2022
