PO,A,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
4,0,0,0,0,0,0,0,0,02/19/2016,away,12360,697,Texas A&M,9,True,2,5,-3,loss,292447,283,1652261,2016
5,0,0,0,0,0,0,0,0,02/20/2016,away,12360,697,Texas A&M,9,True,4,15,-11,loss,292692,283,1652261,2016
2,0,0,0,0,0,0,0,0,02/21/2016,away,12360,697,Texas A&M,9,True,0,5,-5,loss,293151,283,1652261,2016
3,0,0,0,0,0,0,0,0,02/26/2016,neutral,12360,434,Missouri,9,True,2,12,-10,loss,293703,283,1652261,2016
3,0,0,0,0,0,0,0,0,02/27/2016,neutral,12360,434,Missouri,9,True,0,8,-8,loss,294161,283,1652261,2016
3,0,0,0,0,0,0,0,0,02/27/2016,neutral,12360,434,Missouri,9,True,4,11,-7,loss,294176,283,1652261,2016
4,0,0,0,0,0,0,0,0,02/28/2016,neutral,12360,434,Missouri,10,True,2,3,-1,loss,294502,283,1652261,2016
2,0,0,0,0,0,0,0,0,03/05/2016,away,12360,165,Coppin St.,9,True,17,4,13,win,295434,283,1652261,2016
0,0,0,0,0,0,0,0,0,03/05/2016,away,12360,165,Coppin St.,9,True,17,0,17,win,295527,283,1652261,2016
2,0,0,0,0,0,0,0,0,03/06/2016,neutral,12360,165,Coppin St.,9,True,15,0,15,win,296085,283,1652261,2016
2,0,0,0,0,0,0,0,0,03/09/2016,away,12360,725,Army West Point,9,True,14,8,6,win,296591,283,1652261,2016
1,0,0,0,0,0,0,0,0,03/12/2016,away,12360,363,Longwood,9,True,0,2,-2,loss,297361,283,1652261,2016
4,0,0,0,0,0,0,0,0,03/12/2016,away,12360,363,Longwood,12,True,3,4,-1,loss,297456,283,1652261,2016
4,0,0,0,0,0,0,0,0,03/13/2016,away,12360,363,Longwood,9,True,5,6,-1,loss,297838,283,1652261,2016
1,0,0,0,0,0,0,0,0,03/15/2016,away,12360,222,Fairleigh Dickinson,10,True,4,1,3,win,298350,283,1652261,2016
2,0,0,0,0,0,0,0,0,03/16/2016,home,12360,236,Fordham,9,True,6,7,-1,loss,298397,283,1652261,2016
1,0,0,0,0,0,0,0,0,03/18/2016,away,12360,518,Ohio St.,9,True,1,12,-11,loss,298784,283,1652261,2016
2,0,0,0,0,0,0,0,0,03/19/2016,away,12360,518,Ohio St.,9,True,2,4,-2,loss,299106,283,1652261,2016
1,0,0,0,0,0,0,0,0,03/20/2016,away,12360,518,Ohio St.,9,True,1,2,-1,loss,299687,283,1652261,2016
3,0,0,0,0,0,0,0,0,03/22/2016,away,12360,381,Manhattan,9,True,1,5,-4,loss,300049,283,1652261,2016
6,0,0,0,0,0,0,0,0,03/23/2016,home,12360,439,Monmouth,9,True,4,5,-1,loss,300262,283,1652261,2016
3,0,0,0,0,0,0,0,0,03/25/2016,away,12360,786,William & Mary,9,True,6,14,-8,loss,300633,283,1652261,2016
3,0,0,0,0,0,0,0,0,03/26/2016,away,12360,786,William & Mary,9,True,10,15,-5,loss,301055,283,1652261,2016
1,0,0,0,0,0,0,0,0,03/29/2016,away,12360,477,New York Tech,11,True,3,1,2,win,301896,283,1652261,2016
6,0,0,0,0,0,0,0,0,03/30/2016,away,12360,220,Fairfield,9,True,4,5,-1,loss,302103,283,1652261,2016
1,0,0,0,0,0,0,0,0,04/01/2016,away,12360,711,Towson,9,True,4,15,-11,loss,302277,283,1652261,2016
4,0,0,0,0,0,0,0,0,04/02/2016,away,12360,711,Towson,9,True,7,3,4,win,302553,283,1652261,2016
3,0,0,0,0,0,0,0,0,04/03/2016,away,12360,711,Towson,9,True,2,4,-2,loss,303134,283,1652261,2016
8,0,0,0,0,0,0,0,0,04/06/2016,away,12360,617,Saint Peter's,9,True,11,4,7,win,303834,283,1652261,2016
2,0,0,0,0,0,0,0,0,04/08/2016,home,12360,180,Delaware,9,True,4,8,-4,loss,304229,283,1652261,2016
4,1,0,0,0,0,0,0,0,04/08/2016,home,12360,180,Delaware,9,True,3,13,-10,loss,304247,283,1652261,2016
5,0,0,0,0,0,0,0,0,04/10/2016,home,12360,180,Delaware,9,True,4,8,-4,loss,304836,283,1652261,2016
2,0,0,0,0,0,0,0,0,04/13/2016,home,12360,381,Manhattan,9,True,14,4,10,win,305616,283,1652261,2016
1,0,0,0,0,0,0,0,0,04/15/2016,home,12360,1014,Col. of Charleston,11,True,4,3,1,win,306015,283,1652261,2016
5,0,0,0,0,0,0,0,0,04/16/2016,home,12360,1014,Col. of Charleston,9,True,3,1,2,win,306303,283,1652261,2016
5,0,0,0,0,0,0,0,0,04/17/2016,home,12360,1014,Col. of Charleston,9,True,8,7,1,win,307064,283,1652261,2016
0,0,0,0,0,0,0,0,0,04/20/2016,away,12360,361,LIU,9,True,12,6,6,win,307841,283,1652261,2016
0,0,0,0,0,0,0,0,0,04/23/2016,away,12360,1068,Elon,9,True,8,14,-6,loss,308355,283,1652261,2016
1,0,0,0,0,0,0,0,0,04/23/2016,away,12360,1068,Elon,9,True,2,7,-5,loss,309037,283,1652261,2016
2,0,0,0,0,0,0,0,0,04/24/2016,away,12360,1068,Elon,9,True,5,10,-5,loss,309115,283,1652261,2016
0,0,0,0,0,0,0,0,0,04/29/2016,away,12360,460,UNCW,9,True,5,6,-1,loss,309997,283,1652261,2016
0,0,0,0,0,0,0,0,0,04/30/2016,away,12360,460,UNCW,9,True,5,10,-5,loss,310364,283,1652261,2016
4,0,0,0,0,0,0,0,0,05/01/2016,away,12360,460,UNCW,9,True,4,18,-14,loss,310963,283,1652261,2016
2,0,0,0,0,0,0,0,0,05/07/2016,home,12360,500,Northeastern,9,True,5,1,4,win,312244,283,1652261,2016
1,0,0,0,0,0,0,0,0,05/07/2016,home,12360,500,Northeastern,9,True,3,18,-15,loss,312261,283,1652261,2016
1,0,0,0,0,0,0,0,0,05/08/2016,home,12360,500,Northeastern,9,True,1,4,-3,loss,312368,283,1652261,2016
0,0,0,0,0,0,0,0,0,05/14/2016,neutral,12360,86,Buffalo,9,True,3,11,-8,loss,313292,283,1652261,2016
1,0,0,0,0,0,0,0,0,05/14/2016,neutral,12360,86,Buffalo,9,True,2,1,1,win,313293,283,1652261,2016
5,0,0,0,0,0,0,0,0,05/17/2016,away,12360,439,Monmouth,13,True,4,5,-1,loss,313512,283,1652261,2016
3,0,0,0,0,0,0,0,0,05/19/2016,home,12360,317,James Madison,9,True,4,15,-11,loss,313616,283,1652261,2016
2,0,0,0,0,0,0,0,0,05/20/2016,home,12360,317,James Madison,9,True,1,9,-8,loss,313918,283,1652261,2016
4,1,0,0,0,0,0,1,0,05/20/2016,home,12360,317,James Madison,9,True,0,6,-6,loss,313926,283,1652261,2016
