PO,A,TC,E,CI,PB,SBA,CSB,IDP,TP,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,0,0,0,0,0,0,0,0,02/18/2022,neutral,15860,1403,Tiffin,9,True,5,3,2,win,2168004,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,02/19/2022,neutral,15860,1403,Tiffin,9,True,9,0,9,win,2168349,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,02/20/2022,neutral,15860,1403,Tiffin,9,True,2,5,-3,loss,2168469,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,02/20/2022,neutral,15860,1403,Tiffin,9,True,7,2,5,win,2184864,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/04/2022,away,15860,309,UIndy,9,True,3,5,-2,loss,2170263,757,2467061,2022
4,0,4,0,0,0,0,0,0,0,03/05/2022,away,15860,309,UIndy,9,True,26,11,15,win,2261435,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/05/2022,away,15860,309,UIndy,8,True,13,2,11,win,2170581,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/06/2022,away,15860,309,UIndy,9,True,13,3,10,win,2170946,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/11/2022,neutral,15860,41,Augustana (SD),9,True,2,4,-2,loss,2171720,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/11/2022,neutral,15860,41,Augustana (SD),9,True,11,10,1,win,2188682,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/12/2022,neutral,15860,30128,Sioux Falls,9,True,9,2,7,win,2172036,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/12/2022,neutral,15860,30128,Sioux Falls,9,True,1,4,-3,loss,2188202,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/13/2022,neutral,15860,35,Ashland,9,True,3,0,3,win,2172359,757,2467061,2022
1,0,1,0,0,0,0,0,0,0,03/15/2022,neutral,15860,262,Grand Valley St.,9,True,4,7,-3,loss,2172721,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/17/2022,neutral,15860,2755,Southwest Baptist,9,True,14,1,13,win,2173053,757,2467061,2022
1,0,1,0,0,0,0,0,0,0,03/19/2022,neutral,15860,2755,Southwest Baptist,9,True,5,1,4,win,2173525,757,2467061,2022
2,0,2,0,0,0,0,0,0,0,03/19/2022,neutral,15860,2755,Southwest Baptist,9,True,7,4,3,win,2188287,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/22/2022,away,15860,1079,Findlay,9,True,7,3,4,win,2171300,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,03/30/2022,away,15860,280,Hillsdale,9,True,9,10,-1,loss,2175702,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,04/01/2022,away,15860,30221,Davenport,9,True,1,3,-2,loss,2176216,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,04/02/2022,away,15860,30221,Davenport,9,True,3,2,1,win,2176643,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,04/03/2022,away,15860,30221,Davenport,9,True,6,1,5,win,2186207,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,04/03/2022,away,15860,30221,Davenport,8,True,4,5,-1,loss,2176888,757,2467061,2022
2,0,2,0,0,0,0,0,0,0,04/05/2022,away,15860,799,Wis.-Parkside,9,True,12,0,12,win,2175231,757,2467061,2022
1,0,1,0,0,0,0,0,0,0,04/05/2022,away,15860,799,Wis.-Parkside,9,True,10,2,8,win,2174729,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,04/08/2022,home,15860,591,Saginaw Valley,9,True,10,8,2,win,2177638,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,04/09/2022,home,15860,591,Saginaw Valley,9,True,6,5,1,win,2178129,757,2467061,2022
0,0,0,0,0,0,0,0,0,0,04/10/2022,home,15860,591,Saginaw Valley,9,True,11,3,8,win,2186815,757,2467061,2022
