date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/18/2012,home,10942,251,Georgetown,9,True,3,12,-9,loss,3 - 12,755936,48,1,2.0,4,4,2,0,4,0,12,12,1,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,3,0,1197545,2012
02/24/2012,home,10942,388,Marshall,9,True,13,3,10,win,13 - 3,756655,48,1,1.1,2,1,1,0,0,0,7,7,1,0,0,0,0,0,0,1,1,0,0,0,2,2,0,0,0,2,0,1197545,2012
02/26/2012,home,10942,388,Marshall,9,True,2,8,-6,loss,2 - 8,757422,48,1,1.0,1,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,4,0,1197545,2012
03/03/2012,away,10942,37,Auburn,9,True,1,13,-12,loss,1 - 13,758299,48,1,2.2,6,4,4,4,2,0,18,14,1,0,0,1,0,0,0,1,1,0,0,65,3,3,0,0,0,2,0,1197545,2012
03/07/2012,home,10942,10411,USC Upstate,9,True,1,8,-7,loss,1 - 8,759786,48,1,0.2,1,4,2,1,0,0,7,5,0,0,1,0,0,0,0,1,0,1,0,0,2,0,0,0,0,4,0,1197545,2012
03/20/2012,away,10942,141,The Citadel,9,True,0,4,-4,loss,0 - 4,763823,48,1,1.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,16,1,1,0,0,0,3,0,1197545,2012
03/24/2012,home,10942,19651,High Point,9,True,9,13,-4,loss,9 - 13,764967,48,1,2.0,5,3,3,1,1,0,12,11,1,0,0,0,0,0,0,0,0,0,0,39,3,2,0,0,0,3,1,1197545,2012
04/07/2012,away,10942,456,UNC Asheville,9,True,6,11,-5,loss,6 - 11,770247,48,1,1.0,2,1,0,0,0,0,6,6,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,5,0,1197545,2012
04/10/2012,away,10942,10411,USC Upstate,9,True,5,7,-2,loss,5 - 7,770632,48,1,2.2,4,2,2,0,1,0,12,12,3,0,0,0,0,0,0,0,0,0,0,33,2,5,0,0,0,3,1,1197545,2012
04/14/2012,home,10942,1092,Gardner-Webb,9,True,11,14,-3,loss,11 - 14,771909,48,1,0.2,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,6,1,1197545,2012
04/18/2012,home,10942,632,Savannah St.,9,True,11,7,4,win,11 - 7,773499,48,1,5.0,7,4,4,4,6,0,25,20,3,0,1,0,0,0,0,0,0,1,0,0,4,5,1,0,0,1,2,1197545,2012
05/15/2012,away,10942,460,UNCW,9,True,1,5,-4,loss,1 - 5,779739,48,1,0.2,1,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,1,0,0,0,0,6,1,1197545,2012
05/18/2012,home,10942,149,Coastal Carolina,9,True,8,15,-7,loss,8 - 15,780140,48,1,2.0,3,2,2,2,1,0,11,8,0,0,0,0,0,0,0,0,0,0,1,0,2,3,0,0,0,5,0,1197545,2012
