App,GS,IP,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
0,0,1.2,2,0,0,1,0,0,8,6,1,0,0,0,0,1,0,2,1,0,0,22,1,3,0,0,0,3,0,03/22/2015,away,12080,654,Southeast Mo. St.,12,True,4,5,-1,loss,412253,695,1534285,2015
0,0,3.0,0,1,1,3,1,0,11,8,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,2,0,03/28/2015,home,12080,14927,Belmont,10,True,5,4,1,win,413463,695,1534285,2015
0,1,4.1,4,3,3,3,5,0,19,16,1,0,1,0,0,0,0,0,0,0,0,57,1,6,0,1,0,1,2,04/04/2015,away,12080,202,Eastern Ky.,9,True,2,9,-7,loss,415705,695,1534285,2015
0,0,1.0,2,2,0,0,2,0,7,6,1,0,0,1,0,1,0,0,0,0,0,29,1,0,0,0,0,5,1,04/08/2015,home,12080,0,Bethel (TN),9,True,12,9,3,win,416817,695,1534285,2015
0,0,4.2,5,0,0,1,1,0,18,17,0,0,0,0,0,0,0,2,1,0,0,63,7,3,0,0,0,2,0,04/11/2015,home,12080,444,Morehead St.,9,True,6,8,-2,loss,417283,695,1534285,2015
0,1,2.0,4,4,4,2,2,0,13,9,0,0,0,0,0,1,0,0,0,0,1,0,3,1,0,1,0,1,2,04/15/2015,away,12080,433,Ole Miss,9,True,1,11,-10,loss,418918,695,1534285,2015
0,1,3.0,5,3,3,0,0,0,15,13,1,0,0,1,0,1,0,0,0,1,0,47,5,4,0,0,0,1,0,04/19/2015,away,12080,669,Missouri St.,9,True,4,5,-1,loss,420384,695,1534285,2015
0,0,1.2,4,1,1,1,2,0,10,9,0,1,0,0,0,0,0,2,2,0,0,32,2,1,0,0,0,2,0,04/22/2015,away,12080,659,Southern Ill.,9,True,11,9,2,win,421075,695,1534285,2015
0,0,3.0,5,3,3,0,3,0,16,14,0,0,1,0,0,2,0,0,0,0,0,56,1,5,0,0,1,2,2,04/28/2015,neutral,12080,454,Murray St.,9,True,14,3,11,win,423027,695,1534285,2015
0,1,8.0,5,1,1,2,2,0,30,27,0,0,0,1,0,0,0,0,0,1,0,0,11,10,0,0,0,1,2,05/08/2015,away,12080,201,Eastern Ill.,11,True,2,1,1,win,424755,695,1534285,2015
