date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/17/2017,away,12560,31,Arkansas,9,True,0,7,-7,loss,0 - 7,205791,414,0,1,0.2,0.0,5,6,6,3,0,0,11,6,0,0,0,0,0,2,0,0,0,0,0,37,0,1,0,1,0,1,0,1755576,2017
02/24/2017,away,12560,651,South Fla.,9,True,1,5,-4,loss,1 - 5,207041,414,0,1,2.2,0.0,4,4,2,3,2,0,14,11,0,1,0,0,1,0,0,0,0,0,0,57,3,1,0,1,0,1,1,1755576,2017
03/04/2017,home,12560,299,Illinois St.,9,True,8,7,1,win,8 - 7,208586,414,0,1,2.0,0.0,2,4,0,3,4,0,14,10,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,1,2,1755576,2017
03/09/2017,away,12560,334,Kentucky,9,True,4,6,-2,loss,4 - 6,209960,414,0,1,1.1,0.0,4,5,5,2,1,0,10,7,0,0,0,0,0,1,0,0,0,0,0,39,2,0,0,1,0,1,0,1755576,2017
03/19/2017,home,12560,198,ETSU,9,True,0,14,-14,loss,0 - 14,212710,414,0,0,1.0,0.0,1,1,1,1,1,0,5,4,0,0,0,0,2,0,0,0,0,0,0,0,1,1,0,0,0,5,1,1755576,2017
03/24/2017,home,12560,774,Western Mich.,10,True,4,3,1,win,4 - 3,213504,414,0,0,1.1,0.0,1,0,0,0,2,0,5,5,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1755576,2017
03/28/2017,away,12560,505,Northern Ky.,9,True,5,4,1,win,5 - 4,214816,414,0,1,3.0,0.0,5,4,4,4,5,0,18,13,3,0,0,1,1,1,0,0,0,0,0,69,1,2,0,0,0,1,3,1755576,2017
04/05/2017,away,12560,812,Xavier,9,True,4,9,-5,loss,4 - 9,216813,414,0,1,1.0,0.0,2,4,4,4,0,0,8,4,0,0,0,1,2,0,0,0,0,0,0,0,2,0,0,1,0,1,0,1755576,2017
04/15/2017,home,12560,340,La Salle,9,True,15,2,13,win,15 - 2,220301,414,0,0,1.0,0.0,1,0,0,2,2,0,6,4,0,0,0,0,1,0,0,0,0,0,0,32,0,1,0,0,0,4,1,1755576,2017
05/03/2017,home,12560,87,Butler,10,True,4,8,-4,loss,4 - 8,224565,414,0,0,1.0,0.0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,16,2,1,0,0,0,3,0,1755576,2017
