date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,stats_player_seq,season
02/16/2019,home,14781,380,Maine,9,True,6,5,1,win,6 - 5,4707637,234,1,1.0,0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,9,0,1,1,0,0,3,0,1973990,2019
03/20/2019,home,14781,231,FIU,9,True,9,6,3,win,9 - 6,4742267,234,1,2.1,0,3,4,4,2,2,0,11,9,0,0,0,1,1,0,1,0,0,0,0,41,0,4,0,0,0,1,0,1973990,2019
03/26/2019,home,14781,235,Florida,9,True,2,4,-2,loss,2 - 4,4749742,234,1,1.0,0,1,0,0,0,1,0,4,3,1,0,0,0,0,1,0,0,0,0,0,22,1,0,0,0,0,5,1,1973990,2019
03/29/2019,home,14781,67,Boston College,9,True,7,10,-3,loss,7 - 10,4752146,234,1,1.0,0,1,1,1,2,2,0,7,4,0,0,0,0,0,1,0,0,0,0,0,30,1,0,0,0,0,5,1,1973990,2019
04/02/2019,home,14781,316,Jacksonville,11,True,2,3,-1,loss,2 - 3,4756758,234,1,1.0,0,1,0,0,0,1,0,5,5,0,0,0,0,1,0,0,0,0,0,0,21,0,2,0,0,0,2,1,1973990,2019
04/05/2019,away,14781,415,Miami (FL),9,True,0,11,-11,loss,0 - 11,4759525,234,1,0.2,0,2,5,5,3,1,0,7,4,0,0,0,0,0,0,0,0,0,0,0,29,1,0,0,0,0,4,0,1973990,2019
04/24/2019,home,14781,678,Stetson,9,True,10,4,6,win,10 - 4,4779241,234,1,0.2,0,1,1,0,1,0,0,5,3,0,0,0,0,0,0,0,0,0,0,1,16,1,1,0,0,0,2,0,1973990,2019
04/28/2019,home,14781,749,Wake Forest,9,True,12,16,-4,loss,12 - 16,4783550,234,1,1.0,0,0,2,2,2,2,0,5,3,0,0,0,0,0,0,0,1,0,0,0,20,0,1,0,0,0,5,0,1973990,2019
05/05/2019,home,14781,545,Pittsburgh,9,True,12,6,6,win,12 - 6,4788274,234,1,0.0,0,2,4,4,2,0,0,4,2,0,0,0,2,0,0,0,0,0,0,0,16,0,0,0,0,0,4,0,1973990,2019
05/07/2019,home,14781,316,Jacksonville,9,True,2,3,-1,loss,2 - 3,4789122,234,1,0.1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,3,0,0,0,5,0,0,0,0,0,5,0,1973990,2019
05/08/2019,away,14781,678,Stetson,9,True,0,1,-1,loss,0 - 1,4789351,234,1,4.2,0,1,0,0,1,2,0,16,15,1,0,0,0,1,0,0,2,0,0,0,52,3,8,0,0,0,2,1,1973990,2019
05/16/2019,away,14781,367,Louisville,9,True,1,14,-13,loss,1 - 14,4791814,234,1,3.0,0,5,2,2,2,2,0,14,12,2,0,0,0,0,0,0,1,1,0,0,54,4,1,0,0,0,2,1,1973990,2019
