App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,1,4.2,0.0,3,2,1,1,5,0,19,17,1,0,0,0,0,1,0,0,0,0,0,0,3,5,0,0,0,1,3,02/19/2019,away,14781,19651,High Point,9,True,6,2,4,win,1648415,459,2131283,2019
1,1,5.0,0.0,4,1,1,2,4,0,20,18,0,0,0,0,0,0,0,0,0,0,0,80,9,1,0,0,0,1,1,02/27/2019,away,14781,749,Wake Forest,10,True,1,2,-1,loss,1649543,459,2131283,2019
1,1,5.0,0.0,4,3,3,2,3,0,21,18,1,0,0,0,0,1,0,0,0,0,0,0,7,4,0,0,0,1,0,03/05/2019,away,14781,792,Winthrop,9,True,3,6,-3,loss,1651009,459,2131283,2019
1,0,3.2,0.0,3,1,1,2,4,0,17,15,1,0,0,0,0,0,0,2,0,0,0,67,0,7,1,0,0,2,2,03/10/2019,home,14781,554,Princeton,9,True,5,3,2,win,1668110,459,2131283,2019
1,1,3.0,0.0,7,5,4,2,1,0,18,14,1,1,0,0,0,1,0,0,0,0,1,76,1,6,0,1,0,1,0,03/17/2019,home,14781,316,Jacksonville,9,True,4,8,-4,loss,1653654,459,2131283,2019
1,1,4.0,0.0,4,3,2,1,1,0,17,13,1,0,0,0,0,0,0,0,0,1,2,54,6,4,0,0,0,1,0,03/24/2019,away,14781,406,Mercer,9,True,5,3,2,win,1655202,459,2131283,2019
1,1,5.0,0.0,6,1,1,1,5,0,20,18,0,0,0,1,0,0,0,0,0,1,0,76,5,3,0,0,0,1,3,03/31/2019,home,14781,769,Western Caro.,9,True,1,2,-1,loss,1656782,459,2131283,2019
1,1,6.2,0.0,6,1,1,1,6,0,28,25,0,0,1,0,0,1,0,0,0,1,0,97,7,7,0,0,0,1,4,04/07/2019,home,14781,244,Furman,9,True,2,1,1,win,1658328,459,2131283,2019
1,1,7.0,0.0,2,0,0,2,6,0,26,23,0,0,0,0,0,1,0,0,0,0,0,102,5,9,1,0,0,1,3,04/14/2019,home,14781,248,George Mason,9,True,8,0,8,win,1659896,459,2131283,2019
1,1,7.1,0.0,6,2,2,1,6,0,29,27,1,0,0,1,0,1,0,0,0,0,0,0,8,7,0,0,0,1,3,04/20/2019,away,14781,625,Samford,10,True,2,3,-1,loss,1660816,459,2131283,2019
1,1,4.1,0.0,8,4,4,1,6,0,21,19,0,1,0,0,1,0,0,0,0,1,0,79,4,2,0,0,0,1,3,04/27/2019,home,14781,141,The Citadel,9,True,6,5,1,win,1728170,459,2131283,2019
1,1,6.0,0.0,5,2,2,3,5,0,25,22,0,0,0,0,0,0,0,0,0,0,0,102,6,6,1,0,0,1,1,05/04/2019,away,14781,198,ETSU,9,True,4,2,2,win,1663654,459,2131283,2019
1,1,4.1,0.0,5,5,5,1,5,0,19,18,0,0,0,2,1,0,0,0,0,0,0,85,3,5,0,1,0,1,1,05/10/2019,away,14781,741,VMI,9,True,5,6,-1,loss,1664218,459,2131283,2019
1,1,7.0,0.0,1,0,0,0,6,0,23,23,0,0,0,0,0,0,0,0,0,0,0,87,9,6,1,0,0,1,2,05/16/2019,home,14781,2915,Wofford,9,True,1,0,1,win,1664762,459,2131283,2019
1,1,4.1,0.0,3,3,3,2,4,0,18,15,1,0,0,0,0,0,0,0,0,1,0,73,5,3,0,1,0,1,3,05/22/2019,neutral,14781,198,ETSU,9,True,2,4,-2,loss,1733154,459,2131283,2019
