date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/20/2021,home,15580,201,Eastern Ill.,9,True,11,4,7,win,11 - 4,5011156,483,1,0,1.0,0.0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,10,1,2,0,0,0,4,0,0,2130799,2021
02/21/2021,home,15580,201,Eastern Ill.,10,True,2,3,-1,loss,2 - 3,5011176,483,1,0,0.0,0.0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,1,1,0,0,7,0,0,0,0,0,4,0,0,2130799,2021
02/27/2021,away,15580,365,LSU,9,True,0,14,-14,loss,0 - 14,5010544,483,1,0,1.0,0.0,1,1,0,1,1,0,5,4,0,0,0,0,0,0,0,0,0,0,0,21,0,2,0,0,0,6,0,0,2130799,2021
02/28/2021,home,15580,817,Youngstown St.,9,True,4,7,-3,loss,4 - 7,5011145,483,1,0,2.0,0.0,1,0,0,1,2,0,8,7,0,0,0,0,0,0,0,0,0,0,0,31,3,1,0,0,0,4,0,0,2130799,2021
03/06/2021,away,15580,498,ULM,9,True,3,5,-2,loss,3 - 5,5017229,483,1,0,0.2,0.0,0,0,0,0,1,0,2,2,0,0,0,0,0,0,0,0,0,0,0,10,1,0,0,0,0,4,0,0,2130799,2021
03/07/2021,away,15580,498,ULM,9,True,4,6,-2,loss,4 - 6,5018049,483,1,0,1.0,0.0,1,0,0,0,1,0,5,4,0,0,0,0,0,1,0,1,0,0,0,17,0,2,0,0,0,5,0,0,2130799,2021
03/12/2021,home,15580,676,SFA,9,True,8,6,2,win,8 - 6,5023633,483,1,0,0.0,0.0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,5,0,0,2130799,2021
03/16/2021,home,15580,671,Louisiana,9,True,8,9,-1,loss,8 - 9,5027809,483,1,0,1.0,0.0,1,0,0,2,1,0,6,3,0,0,0,0,0,0,0,2,1,0,1,26,0,2,0,0,0,5,0,0,2130799,2021
03/19/2021,away,15580,2,Abilene Christian,9,True,7,6,1,win,7 - 6,5030096,483,1,0,0.0,0.0,1,1,1,1,0,0,2,1,0,0,0,0,1,0,0,0,0,0,0,8,0,0,0,0,0,4,0,0,2130799,2021
04/06/2021,away,15580,671,Louisiana,9,True,2,3,-1,loss,2 - 3,5048924,483,1,0,0.2,0.0,1,0,0,2,1,0,5,3,1,0,0,0,0,0,0,0,0,0,0,19,0,1,0,0,0,5,1,0,2130799,2021
04/09/2021,home,15580,26172,A&M-Corpus Christi,9,True,1,5,-4,loss,1 - 5,5051212,483,1,0,1.0,0.0,0,0,0,1,1,0,4,3,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,0,3,0,0,2130799,2021
04/17/2021,away,15580,346,Lamar University,9,True,2,11,-9,loss,2 - 11,5059703,483,1,0,1.2,0.0,1,1,1,0,1,0,6,5,0,0,0,1,0,0,0,3,1,0,1,24,1,3,0,0,0,3,1,0,2130799,2021
04/24/2021,away,15580,508,Northwestern St.,9,True,6,13,-7,loss,6 - 13,5065969,483,1,0,1.0,0.0,1,1,1,1,0,0,5,4,0,0,0,1,1,0,0,1,1,0,0,19,2,1,0,0,0,3,0,0,2130799,2021
05/14/2021,away,15580,402,McNeese,9,True,0,7,-7,loss,0 - 7,5078259,483,1,0,1.0,0.0,0,0,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,17,0,1,0,0,0,3,0,0,2130799,2021
05/15/2021,away,15580,402,McNeese,9,True,7,10,-3,loss,7 - 10,5078896,483,1,0,1.1,0.0,2,3,3,2,2,0,7,5,0,1,0,1,0,0,0,0,0,0,0,34,0,1,0,0,0,3,0,0,2130799,2021
05/21/2021,home,15580,624,Sam Houston,9,True,3,16,-13,loss,3 - 16,5080805,483,1,0,1.1,0.0,1,0,0,0,4,0,5,5,0,0,0,0,0,0,0,3,0,0,0,29,0,0,0,0,0,4,1,0,2130799,2021
05/22/2021,home,15580,624,Sam Houston,9,True,4,5,-1,loss,4 - 5,5081106,483,1,0,1.2,0.0,0,0,0,0,4,0,5,5,0,0,0,0,0,0,0,2,0,0,0,19,0,1,0,0,0,3,2,0,2130799,2021
