App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season
1,0,0.2,0.0,1,0,0,0,2,0,3,3,0,0,0,0,0,0,0,1,0,0,0,12,0,0,0,0,0,4,1,0,02/06/2021,home,15580,9012,Mo. Southern St.,9,True,4,6,-2,loss,2015941,30092,2455973,2021
1,0,2.2,0.0,2,1,1,0,1,0,9,9,0,0,0,0,1,0,0,1,0,0,0,32,3,3,0,0,0,3,0,0,02/23/2021,home,15580,734,Valdosta St.,9,True,2,7,-5,loss,2016494,30092,2455973,2021
1,0,0.2,0.0,1,0,0,0,1,0,3,3,1,0,0,0,0,0,0,0,0,0,0,10,0,1,0,0,1,3,0,0,02/27/2021,away,15580,39,Augusta,9,True,4,1,3,win,2016821,30092,2455973,2021
1,0,1.0,0.0,1,0,0,0,1,0,4,4,0,0,0,0,0,0,0,0,0,0,0,14,2,0,1,0,0,5,1,0,03/03/2021,home,15580,13,Albany St. (GA),9,True,3,0,3,win,2017056,30092,2455973,2021
1,0,0.2,0.0,1,2,2,1,1,0,4,3,0,0,0,1,0,0,0,2,0,0,0,22,0,1,0,0,0,4,0,0,03/07/2021,home,15580,1167,Lander,9,True,4,15,-11,loss,2024743,30092,2455973,2021
1,0,1.2,0.0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,6,0,0,03/17/2021,away,15580,13,Albany St. (GA),9,True,2,8,-6,loss,2018296,30092,2455973,2021
1,0,3.1,0.0,3,2,2,2,5,0,15,12,0,0,0,0,2,0,0,0,0,0,1,69,1,4,0,0,0,3,0,0,03/26/2021,away,15580,30052,North Georgia,9,True,8,18,-10,loss,2019373,30092,2455973,2021
1,1,4.0,0.0,1,0,0,4,5,0,17,13,1,0,0,0,0,0,0,0,0,0,0,62,4,3,0,0,0,1,3,0,04/03/2021,away,15580,1085,Francis Marion,9,True,6,2,4,win,2026012,30092,2455973,2021
1,1,4.1,0.0,7,5,3,0,3,0,22,18,0,0,0,1,0,2,0,0,0,0,2,75,4,5,0,1,0,1,1,0,04/17/2021,home,15580,1096,Georgia College,9,True,0,8,-8,loss,2025218,30092,2455973,2021
1,1,6.0,0.0,4,1,1,2,2,0,22,20,1,0,0,0,0,0,0,0,0,0,0,91,9,5,1,0,0,1,2,1,04/25/2021,home,15580,537,UNC Pembroke,9,True,11,1,10,win,2022345,30092,2455973,2021
1,1,6.0,0.0,4,1,1,0,5,0,22,21,1,0,0,0,0,0,0,0,0,1,0,77,4,8,0,1,0,1,3,0,05/01/2021,away,15580,1097,Ga. Southwestern,9,True,0,1,-1,loss,2024668,30092,2455973,2021
