date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,score,game_id,school_id,App,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,Pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,stats_player_seq,season
02/20/2022,home,15860,30024,Utah Valley,9,True,14,2,12,win,14 - 2,5210960,670,1,1.0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,3,0,0,2466185,2022
02/26/2022,home,15860,518,Ohio St.,9,True,8,5,3,win,8 - 5,5217037,670,1,1.0,0,2,2,1,1,0,0,5,4,1,0,0,0,0,0,0,2,0,0,0,14,1,1,0,0,0,3,0,0,2466185,2022
03/04/2022,away,15860,29,Arizona,9,True,2,7,-5,loss,2 - 7,5223644,670,1,0.2,0,1,0,0,1,2,0,4,3,0,0,0,0,0,0,0,2,1,0,0,15,0,0,0,0,0,4,0,0,2466185,2022
03/12/2022,home,15860,665,Southern U.,9,True,15,5,10,win,15 - 5,5232459,670,1,1.0,0,0,0,0,0,1,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,2,0,0,0,0,2,0,0,2466185,2022
03/20/2022,away,15860,30,Arkansas St.,9,True,5,4,1,win,5 - 4,5240854,670,1,0.1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,3,0,0,2466185,2022
03/22/2022,away,15860,2743,UIW,9,True,2,4,-2,loss,2 - 4,5243415,670,1,0.1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,0,0,5,1,0,2466185,2022
03/27/2022,home,15860,149,Coastal Carolina,9,True,13,9,4,win,13 - 9,5248135,670,1,0.1,0,1,0,0,1,1,0,3,2,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,3,0,0,2466185,2022
04/03/2022,away,15860,27,App State,9,True,7,2,5,win,7 - 2,5254330,670,1,1.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,10,1,2,0,0,0,3,0,0,2466185,2022
04/05/2022,away,15860,697,Texas A&M,9,True,4,8,-4,loss,4 - 8,5256676,670,1,0.0,0,2,3,2,1,0,0,3,2,0,0,0,1,0,0,0,0,0,0,0,12,0,0,0,0,0,4,0,0,2466185,2022
04/09/2022,home,15860,253,Ga. Southern,9,True,11,13,-2,loss,11 - 13,5259899,670,1,0.1,0,2,1,1,0,1,0,3,3,0,0,0,1,0,0,0,3,3,0,0,13,0,0,0,0,0,6,0,0,2466185,2022
04/26/2022,away,15860,706,UTSA,9,True,8,14,-6,loss,8 - 14,5276358,670,1,2.0,0,1,0,0,0,3,0,8,7,0,0,0,0,0,1,0,0,0,0,0,31,1,2,0,0,0,3,0,0,2466185,2022
04/30/2022,home,15860,646,South Alabama,9,True,11,10,1,win,11 - 10,5280108,670,1,1.1,0,2,1,1,0,0,0,7,6,0,0,0,0,0,1,0,2,2,0,0,22,1,2,0,0,0,2,0,0,2466185,2022
05/03/2022,home,15860,2743,UIW,9,True,3,1,2,win,3 - 1,5282336,670,1,2.2,0,3,1,0,0,3,0,11,11,0,0,0,0,0,0,0,2,0,0,0,40,4,0,1,0,0,2,0,0,2466185,2022
05/08/2022,away,15860,498,ULM,9,True,5,4,1,win,5 - 4,5285440,670,1,1.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,12,1,2,1,0,0,2,0,0,2466185,2022
05/14/2022,home,15860,671,Louisiana,9,True,6,4,2,win,6 - 4,5287934,670,1,0.1,0,2,0,0,0,1,0,3,3,1,0,0,0,1,0,0,1,0,0,0,14,0,0,0,0,0,2,1,0,2466185,2022
05/20/2022,away,15860,254,Georgia St.,9,True,5,4,1,win,5 - 4,5289209,670,1,1.0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,8,1,2,0,0,0,3,0,0,2466185,2022
05/28/2022,home,15860,671,Louisiana,9,True,2,3,-1,loss,2 - 3,5290557,670,1,3.0,0,2,0,0,0,4,0,10,10,1,0,0,0,0,0,0,0,0,0,0,37,1,3,0,0,0,3,0,0,2466185,2022
06/03/2022,home,15860,104,UC Santa Barbara,9,True,7,3,4,win,7 - 3,5290818,670,1,2.2,0,0,0,0,1,4,0,9,8,0,0,0,0,0,0,0,0,0,0,0,36,3,1,0,0,1,3,1,0,2466185,2022
06/05/2022,away,15860,674,Stanford,9,True,4,8,-4,loss,4 - 8,5290907,670,1,1.2,0,3,2,2,0,1,0,8,8,0,0,0,1,0,0,0,2,0,0,0,33,3,1,0,0,0,3,0,0,2466185,2022
