App,GS,IP,CG,H,R,ER,BB,SO,SHO,BF,P-OAB,2B-A,3B-A,Bk,HR-A,WP,HB,IBB,Inh Run,Inh Run Score,SHA,SFA,pitches,GO,FO,W,L,SV,OrdAppeared,KL,pickoffs,date,field,season_id,opponent_id,opponent_name,innings_played,extras,runs_scored,runs_allowed,run_difference,result,game_id,school_id,stats_player_seq,season,division
1,0,2.0,0.0,0,0,0,0,1,0,6,5,0,0,0,0,0,1,0,0,0,0,0,9,3,1,0,0,0,3,1,0,02/04/2024,home,16580,696,Tex. A&M-Kingsville,9,True,18,1,17,win,4525067,1334,2800741,2024,2
1,0,1.0,0.0,1,2,1,1,1,0,5,4,1,0,0,0,0,0,1,0,0,0,0,13,1,1,0,0,0,4,1,0,02/09/2024,home,16580,2720,CSU Pueblo,11,True,11,12,-1,loss,4525186,1334,2800741,2024,2
1,0,1.0,0.0,3,1,1,1,1,0,6,5,0,0,0,0,0,0,0,0,0,0,0,21,1,0,0,0,0,5,0,0,02/18/2024,away,16580,767,West Tex. A&M,9,True,5,7,-2,loss,4526238,1334,2800741,2024,2
1,0,0.2,0.0,1,0,0,0,0,0,3,2,0,0,0,0,0,0,0,0,0,0,1,2,1,1,0,0,0,4,0,0,02/23/2024,home,16580,206,Eastern N.M.,9,True,3,8,-5,loss,4526519,1334,2800741,2024,2
1,0,1.1,0.0,0,0,0,0,3,0,4,4,0,0,0,0,0,0,0,0,0,0,0,19,0,1,1,0,0,4,2,0,03/10/2024,home,16580,30088,Tex. Permian Basin,9,True,7,6,1,win,4529980,1334,2800741,2024,2
1,0,3.0,0.0,4,1,1,0,3,0,11,11,1,0,0,1,0,0,0,0,0,0,0,41,2,2,0,0,0,3,0,0,03/17/2024,away,16580,30028,UT Tyler,10,True,11,12,-1,loss,4531745,1334,2800741,2024,2
1,0,0.2,0.0,4,4,4,2,1,0,9,6,1,0,0,0,1,1,0,0,0,0,0,30,0,1,0,0,0,2,0,0,03/18/2024,away,16580,30028,UT Tyler,9,True,4,8,-4,loss,4545001,1334,2800741,2024,2
1,0,3.0,0.0,3,0,0,0,3,0,12,12,0,0,0,0,0,0,0,0,0,0,0,46,4,2,0,0,1,2,0,0,03/22/2024,home,16580,30105,Ark.-Fort Smith,9,True,8,3,5,win,4532286,1334,2800741,2024,2
1,0,3.0,0.0,4,2,2,1,2,0,16,11,1,0,0,0,0,2,0,0,0,1,1,34,3,4,0,0,0,6,1,0,03/24/2024,home,16580,30105,Ark.-Fort Smith,9,True,11,18,-7,loss,4533009,1334,2800741,2024,2
1,0,0.1,0.0,0,1,1,2,0,0,3,1,0,0,0,0,2,0,0,0,0,0,0,10,1,0,0,0,0,3,0,0,04/06/2024,home,16580,1346,St. Mary's (TX),9,True,5,8,-3,loss,4535641,1334,2800741,2024,2
1,0,0.2,0.0,0,1,1,1,0,0,5,2,0,0,0,0,1,2,0,0,0,0,0,22,0,2,0,0,0,4,0,0,04/07/2024,home,16580,1346,St. Mary's (TX),9,True,15,14,1,win,4536067,1334,2800741,2024,2
1,0,2.2,0.0,9,6,6,2,4,0,18,16,3,0,0,0,1,0,0,0,0,0,0,65,2,1,0,0,0,2,2,0,04/14/2024,away,16580,30177,Lubbock Christian,9,True,1,14,-13,loss,4537611,1334,2800741,2024,2
