"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"03/01/2020","Tallahassee, Fla.",NA,"1","top","0-0","Dayton","Florida A&M","First Pitch: 11:00 a.m."
"03/01/2020","Tallahassee, Fla.",NA,"1","top","0-0","Dayton","Florida A&M","RICCIARDI flied out to cf (0-2 SF)."
"03/01/2020","Tallahassee, Fla.",NA,"1","top","0-0","Dayton","Florida A&M","HOWELL grounded out to 2b (1-2 SFBF)."
"03/01/2020","Tallahassee, Fla.",NA,"1","top","0-0","Dayton","Florida A&M","TIROTTA singled through the left side (0-1 K)."
"03/01/2020","Tallahassee, Fla.",NA,"1","top","0-0","Dayton","Florida A&M","BRICKMAN hit by pitch (0-0)3a TIROTTA advanced to second."
"03/01/2020","Tallahassee, Fla.",NA,"1","top","0-0","Dayton","Florida A&M","PUJOLS walked (3-1 FBBBB)3a BRICKMAN advanced to second3a TIROTTA advanced to third."
"03/01/2020","Tallahassee, Fla.",NA,"1","top","0-0","Dayton","Florida A&M","BLACKWELL reached on a fielders choice (2-1 SBB)3a PUJOLS out at second ss to 2b."
"03/01/2020","Tallahassee, Fla.",NA,"1","bot","0-0","Florida A&M","Dayton","LAWRENCE,S. walked (3-0 BBBB)."
"03/01/2020","Tallahassee, Fla.",NA,"1","bot","0-0","Florida A&M","Dayton","MOYER,O. grounded into double play ss to 2b to 1b (3-2 KBBBK)3a LAWRENCE,S. out on the play."
"03/01/2020","Tallahassee, Fla.",NA,"1","bot","0-0","Florida A&M","Dayton","WEBER,J. flied out to lf (3-2 KSBBBFF)."
"03/01/2020","Tallahassee, Fla.",NA,"2","top","0-0","Dayton","Florida A&M","PURSINGER flied out to lf (1-2 SFB)."
"03/01/2020","Tallahassee, Fla.",NA,"2","top","0-0","Dayton","Florida A&M","WATSON struck out looking (1-2 KBKFK)."
"03/01/2020","Tallahassee, Fla.",NA,"2","top","0-0","Dayton","Florida A&M","CLEARY flied out to rf (3-2 BSKBB)."
"03/01/2020","Tallahassee, Fla.",NA,"2","bot","0-0","Florida A&M","Dayton","RAYBURN,T. singled to right field (3-1 BBKB)."
"03/01/2020","Tallahassee, Fla.",NA,"2","bot","0-0","Florida A&M","Dayton","BRYANT,LJ walked (3-2 BKBBFB)3a RAYBURN,T. advanced to second."
"03/01/2020","Tallahassee, Fla.",NA,"2","bot","0-0","Florida A&M","Dayton","COOPER,T. walked (3-2 BFBSBB)3a BRYANT,LJ advanced to second3a RAYBURN,T. advanced to third."
"03/01/2020","Tallahassee, Fla.",NA,"2","bot","0-0","Florida A&M","Dayton","JENKINS,E. struck out looking (2-2 BBKKK)."
"03/01/2020","Tallahassee, Fla.",NA,"2","bot","0-0","Florida A&M","Dayton","CLANCY,D. struck out swinging (3-2 BBKBKS)."
"03/01/2020","Tallahassee, Fla.",NA,"2","bot","0-0","Florida A&M","Dayton","HART,C. struck out swinging (1-2 BKFS)."
"03/01/2020","Tallahassee, Fla.",NA,"3","top","0-0","Dayton","Florida A&M","RICCIARDI flied out to lf (0-0)."
"03/01/2020","Tallahassee, Fla.",NA,"3","top","0-0","Dayton","Florida A&M","HOWELL flied out to cf (0-1 K)."
"03/01/2020","Tallahassee, Fla.",NA,"3","top","0-0","Dayton","Florida A&M","TIROTTA fouled out to 1b (0-1 K)."
"03/01/2020","Tallahassee, Fla.",NA,"3","bot","0-0","Florida A&M","Dayton","LAWRENCE,S. struck out looking (1-2 KBFK)."
"03/01/2020","Tallahassee, Fla.",NA,"3","bot","0-0","Florida A&M","Dayton","MOYER,O. fouled out to lf (1-0 B)."
"03/01/2020","Tallahassee, Fla.",NA,"3","bot","0-0","Florida A&M","Dayton","WEBER,J. walked (3-1 KBBBB)."
"03/01/2020","Tallahassee, Fla.",NA,"3","bot","0-0","Florida A&M","Dayton","RAYBURN,T. grounded out to 1b unassisted (1-2 KKB)."
"03/01/2020","Tallahassee, Fla.",NA,"4","top","0-0","Dayton","Florida A&M","BRICKMAN struck out swinging (3-2 BKBSBS)."
"03/01/2020","Tallahassee, Fla.",NA,"4","top","0-0","Dayton","Florida A&M","PUJOLS grounded out to p (0-1 F)."
"03/01/2020","Tallahassee, Fla.",NA,"4","top","0-0","Dayton","Florida A&M","BLACKWELL flied out to rf (1-1 BS)."
"03/01/2020","Tallahassee, Fla.",NA,"4","bot","0-0","Florida A&M","Dayton","BRYANT,LJ doubled to left center (0-1 K)."
