"date","location","attendance","inning","inning_top_bot","score","batting","fielding","description"
"03/31/2019","Albany, N.Y.",NA,"1","top","0-0","Binghamton","UAlbany","Franchi struck out looking (0-2 KFK)."
"03/31/2019","Albany, N.Y.",NA,"1","top","0-0","Binghamton","UAlbany","Marshall grounded out to 3b (1-2 FSB)."
"03/31/2019","Albany, N.Y.",NA,"1","top","0-0","Binghamton","UAlbany","Baratta singled up the middle (2-1 KBB)."
"03/31/2019","Albany, N.Y.",NA,"1","top","0-0","Binghamton","UAlbany","Freedman struck out swinging (1-2 SBFS)."
"03/31/2019","Albany, N.Y.",NA,"1","bot","0-0","UAlbany","Binghamton","KONDO, N struck out swinging (1-2 BKKS)."
"03/31/2019","Albany, N.Y.",NA,"1","bot","0-0","UAlbany","Binghamton","BOTTARI, J struck out looking (1-2 FSBK)."
"03/31/2019","Albany, N.Y.",NA,"1","bot","0-0","UAlbany","Binghamton","LAGRAVINESE flied out to 2b (3-2 BKBFBF)."
"03/31/2019","Albany, N.Y.",NA,"2","top","0-0","Binghamton","UAlbany","Trenholm grounded out to 2b (3-2 BBKBK)."
"03/31/2019","Albany, N.Y.",NA,"2","top","0-0","Binghamton","UAlbany","Drpich walked (3-0 BBBB)."
"03/31/2019","Albany, N.Y.",NA,"2","top","0-0","Binghamton","UAlbany","Gsell flied out to cf (2-2 BFBF)."
"03/31/2019","Albany, N.Y.",NA,"2","top","0-0","Binghamton","UAlbany","Evans grounded out to 3b (0-1 K)."
"03/31/2019","Albany, N.Y.",NA,"2","bot","0-0","UAlbany","Binghamton","WANGENSTEIN grounded out to p (2-1 BFB)."
"03/31/2019","Albany, N.Y.",NA,"2","bot","0-0","UAlbany","Binghamton","THUL, A singled to center field (0-0)."
"03/31/2019","Albany, N.Y.",NA,"2","bot","0-0","UAlbany","Binghamton","MALM, B flied out to cf (3-2 BFFFBFBF)."
"03/31/2019","Albany, N.Y.",NA,"2","bot","0-0","UAlbany","Binghamton","CODISPOTI, M walked (3-2 BBBKFFB) THUL, A advanced to second."
"03/31/2019","Albany, N.Y.",NA,"2","bot","0-0","UAlbany","Binghamton","OCASAL, D hit by pitch (1-2 BKKFFF) CODISPOTI, M advanced to second THUL, A advanced to third."
"03/31/2019","Albany, N.Y.",NA,"2","bot","0-0","UAlbany","Binghamton","HAYDEN, K grounded out to 2b (1-2 FKFB)."
"03/31/2019","Albany, N.Y.",NA,"3","top","0-0","Binghamton","UAlbany","Wegmann struck out swinging (1-2 KBKFS)."
"03/31/2019","Albany, N.Y.",NA,"3","top","0-0","Binghamton","UAlbany","Franchi walked (3-1 BBBKB)."
"03/31/2019","Albany, N.Y.",NA,"3","top","0-0","Binghamton","UAlbany","Marshall reached on a fielders choice (2-1 BBK) Franchi out at second 3b to 2b."
"03/31/2019","Albany, N.Y.",NA,"3","top","0-0","Binghamton","UAlbany","Baratta singled to right field (0-0) Marshall advanced to third."
"03/31/2019","Albany, N.Y.",NA,"3","top","0-0","Binghamton","UAlbany","Freedman grounded out to p unassisted (3-2 BKSBB)."
"03/31/2019","Albany, N.Y.",NA,"3","bot","0-0","UAlbany","Binghamton","KONDO, N grounded out to 3b (0-0)."
"03/31/2019","Albany, N.Y.",NA,"3","bot","0-0","UAlbany","Binghamton","BOTTARI, J flied out to rf (1-0 B)."
"03/31/2019","Albany, N.Y.",NA,"3","bot","0-0","UAlbany","Binghamton","LAGRAVINESE tripled down the rf line (2-0 BB)."
"03/31/2019","Albany, N.Y.",NA,"3","bot","0-0","UAlbany","Binghamton","WANGENSTEIN hit by pitch (0-0)."
"03/31/2019","Albany, N.Y.",NA,"3","bot","0-0","UAlbany","Binghamton","THUL, A lined out to ss (1-0 B)."
"03/31/2019","Albany, N.Y.",NA,"4","top","0-0","Binghamton","UAlbany","Trenholm walked (3-0 BBBB)."
"03/31/2019","Albany, N.Y.",NA,"4","top","0-0","Binghamton","UAlbany","Trenholm stole second."
"03/31/2019","Albany, N.Y.",NA,"4","top","0-0","Binghamton","UAlbany","Drpich popped up to 2b (1-1 KB)."
"03/31/2019","Albany, N.Y.",NA,"4","top","1-0","Binghamton","UAlbany","Gsell singled to third base, RBI (0-1 S) Trenholm scored."
"03/31/2019","Albany, N.Y.",NA,"4","top","1-0","Binghamton","UAlbany","Evans reached on a fielders choice (2-0 BB) Gsell out at second ss to 2b."
"03/31/2019","Albany, N.Y.",NA,"4","top","2-0","Binghamton","UAlbany","Wegmann doubled to center field, RBI (1-2 SSFB) Evans scored."
"03/31/2019","Albany, N.Y.",NA,"4","top","2-0","Binghamton","UAlbany","MCLEAN, K to p for WEBER, R."
"03/31/2019","Albany, N.Y.",NA,"4","top","2-0","Binghamton","UAlbany","Franchi struck out swinging (1-2 SSBS)."
