,0
0,Abilene Christian
1,Air Force
2,Akron
3,Alabama
4,Alabama A&M
5,Alabama St.
6,UAB
7,Albany (NY)
8,Alcorn
9,Appalachian St.
10,Arizona
11,Arizona St.
12,Arkansas
13,Arkansas St.
14,Little Rock
15,Ark.-Pine Bluff
16,Army West Point
17,Auburn
18,Austin Peay
19,Ball St.
20,Baylor
21,Belmont
22,Bethune-Cookman
23,Binghamton
24,Boise St.
25,Boston College
26,Bowling Green
27,Bradley
28,BYU
29,Brown
30,Bryant
31,Bucknell
32,Buffalo
33,Butler
34,CSU Bakersfield
35,Cal Poly
36,Cal St. Fullerton
37,CSUN
38,California
39,California Baptist
40,Campbell
41,Canisius
42,Central Ark.
43,Central Conn. St.
44,UCF
45,Central Mich.
46,Charleston So.
47,Chicago St.
48,Cincinnati
49,Clemson
50,Coastal Carolina
51,Col. of Charleston
52,Columbia
53,UConn
54,Coppin St.
55,Cornell
56,Creighton
57,DBU
58,Dartmouth
59,Davidson
60,Dayton
61,Delaware
62,Delaware St.
63,Dixie St.
64,Duke
65,East Carolina
66,ETSU
67,Eastern Ill.
68,Eastern Ky.
69,Eastern Mich.
70,Elon
71,Evansville
72,Fairfield
73,Fairleigh Dickinson
74,Florida
75,Florida A&M
76,Fla. Atlantic
77,FGCU
78,FIU
79,Florida St.
80,Fordham
81,Fresno St.
82,Furman
83,Gardner-Webb
84,George Mason
85,George Washington
86,Georgetown
87,Georgia
88,Ga. Southern
89,Georgia St.
90,Georgia Tech
91,Gonzaga
92,Grambling
93,Grand Canyon
94,Hartford
95,Harvard
96,Hawaii
97,High Point
98,Hofstra
99,Holy Cross
100,Houston
101,Houston Baptist
102,Illinois
103,Illinois St.
104,UIC
105,UIW
106,Indiana
107,Indiana St.
108,Iona
109,Iowa
110,Jackson St.
111,Jacksonville
112,Jacksonville St.
113,James Madison
114,Kansas
115,Kansas St.
116,Kennesaw St.
117,Kent St.
118,Kentucky
119,La Salle
120,Lafayette
121,Lamar University
122,Lehigh
123,Liberty
124,Lipscomb
125,Long Beach St.
126,LIU
127,Longwood
128,LSU
129,Louisiana Tech
130,La.-Monroe
131,Louisville
132,LMU (CA)
133,Maine
134,Manhattan
135,Marist
136,Marshall
137,Maryland
138,UMBC
139,UMES
140,Massachusetts
141,UMass Lowell
142,McNeese
143,Memphis
144,Mercer
145,Miami (FL)
146,Miami (OH)
147,Michigan
148,Michigan St.
149,Middle Tenn.
150,Minnesota
151,Ole Miss
152,Mississippi St.
153,Mississippi Val.
154,Missouri
155,Missouri St.
156,Monmouth
157,Morehead St.
158,Mount St. Mary's
159,Murray St.
160,Navy
161,Nebraska
162,Omaha
163,Nevada
164,UNLV
165,NJIT
166,New Mexico
167,New Mexico St.
168,New Orleans
169,New York Tech
170,Niagara
171,Nicholls St.
172,Norfolk St.
173,North Ala.
174,North Carolina
175,N.C. A&T
176,N.C. Central
177,NC State
178,UNC Asheville
179,Charlotte
180,UNC Greensboro
181,UNCW
182,North Dakota
183,North Dakota St.
184,North Florida
185,Northeastern
186,Northern Colo.
187,Northern Ill.
188,Northern Ky.
189,Northwestern
190,Northwestern St.
191,Notre Dame
192,Oakland
193,Ohio
194,Ohio St.
195,Oklahoma
196,Oklahoma St.
197,Old Dominion
198,Oral Roberts
199,Oregon
200,Oregon St.
201,Pacific
202,Penn St.
203,Penn
204,Pepperdine
205,Pittsburgh
206,Portland
207,Prairie View
208,Presbyterian
209,Princeton
210,Purdue
211,Quinnipiac
212,Radford
213,Rhode Island
214,Rice
215,Richmond
216,Rider
217,Rutgers
218,Sacramento St.
219,Sacred Heart
220,Sam Houston St.
221,Samford
222,San Diego
223,San Diego St.
224,San Francisco
225,San Jose St.
226,Santa Clara
227,Savannah St.
228,Seattle U
229,Seton Hall
230,Siena
231,South Alabama
232,South Carolina
233,USC Upstate
234,South Dakota St.
235,South Fla.
236,Southeast Mo. St.
237,Southeastern La.
238,Southern U.
239,Southern California
240,Southern Ill.
241,SIUE
242,Southern Miss.
243,Saint Mary's (CA)
244,St. Bonaventure
245,St. John's (NY)
246,Saint Joseph's
247,Saint Louis
248,Saint Peter's
249,Stanford
250,SFA
251,Stetson
252,Stony Brook
253,Tarleton St.
254,Temple
255,Tennessee
256,Tennessee Tech
257,UT Martin
258,Texas
259,Texas A&M
260,A&M-Corpus Christi
261,TCU
262,Texas Southern
263,Texas St.
264,Texas Tech
265,UT Arlington
266,UTRGV
267,UTSA
268,The Citadel
269,Toledo
270,Towson
271,Troy
272,Tulane
273,UC Davis
274,UC Irvine
275,UC Riverside
276,UC Santa Barbara
277,UCLA
278,Utah
279,Utah Valley
280,VMI
281,Valparaiso
282,Vanderbilt
283,Villanova
284,Virginia
285,VCU
286,Virginia Tech
287,Wagner
288,Wake Forest
289,Washington
290,Washington St.
291,West Virginia
292,Western Caro.
293,Western Ill.
294,Western Ky.
295,Western Mich.
296,Wichita St.
297,William & Mary
298,Winthrop
299,Milwaukee
300,Wofford
301,Wright St.
302,Xavier
303,Yale
304,Youngstown St.
305,Bellarmine
306,UC San Diego
307,Purdue Fort Wayne
308,Merrimack
309,Louisiana
310,Colorado Mesa
311,Spring Hill
312,Central Mo.
313,Angelo St.
314,Francis Marion
315,Albany St.  (SIAC)
316,Drury
317,Chico St.
318,Concord
319,Savannah St.
320,Ill. Springfield
321,MSU Denver
322,William Jewell
323,Newberry
324,West Tex. A&M
325,Lubbock Christian
326,North Greenville
327,Augustana  (NSIC)
328,Northeastern St.
329,Charleston  (MEC)
330,Minnesota St.
331,Slippery Rock
332,Molloy
333,CSU Pueblo
334,Millersville
335,Regis  (RMAC)
336,Okla. Baptist
337,Pittsburg St.
338,Colo. Christian
339,Adelphi
340,Columbus St.
341,UC-Colo. Springs
342,Ashland
343,Lenoir-Rhyne
344,Miles
345,Trevecca Nazarene
346,Colo. Sch. of Mines
347,Quincy
348,Young Harris
349,UNC Pembroke
350,Alabama Huntsville
351,Southern Ark.
352,Montevallo
353,Wingate
354,Maryville  (GLVC)
355,N.M. Highlands
356,Point Loma
357,St. Edward's
358,Mo. Southern St.
359,Tex. A&M-Kingsville
360,Florida Tech
361,Georgia College
362,Southern N.H.
363,Cal Poly Pomona
364,Queens  (SAC)
365,Barton
366,Erskine
367,Chestnut Hill
368,Indiana  (PSAC)
369,Pace
370,Tiffin
371,St. Cloud St.
372,Tampa
373,Rockhurst
374,Northwestern Okla.
375,Nova Southeastern
376,Delta St.
377,Jefferson
378,Saint Leo
379,Davenport
380,Washburn
381,Notre Dame  (MEC)
382,Cedarville
383,Purdue Northwest
384,Southeastern Okla.
385,UT Tyler
386,Saginaw Valley
387,Cal U  (PSAC)
388,Carson-Newman
389,AUM
390,Mount Olive
391,Central Wash.
392,Hillsdale
393,Wilmington  (CACC)
394,Cal St. Monterey Bay
395,West Ga.
396,Northwood
397,Missouri S&T
398,Franklin Pierce
399,McKendree
400,Grand Valley St.
401,Glenville St.
402,Cal St. San Marcos
403,Rollins
404,Adams St.
405,Wayne St.  (GLIAC)
406,Azusa Pacific
