season,season_id,school_id,stats_player_seq,division,App,GS,W,L,SV,CG,SHO,IP,H,R,ER,2B,3B,HR,BB,IBB,SO,HBP,Bk,WP,BF,P-OAB,IR,IRS,SHA,SFA,GO,FO,KL,pickoffs,W-L%,ERA,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/BB,RA9
2023,16340,2,1997675,1.0,2,0.0,0,0,0,0.0,0,2.0,2,0,0,0,0,0,0,0,3,0,0,0,7,7,3,0,0,0,1,1,1,0.0,,0.0,,0.060252755201906094,1.0,9.0,0.0,0.0,13.5,,0.0
2023,16340,2,2347980,1.0,1,1.0,1,0,0,0.0,0,3.0,1,1,1,0,0,1,2,0,5,0,1,0,12,10,0,0,0,0,2,2,3,0.0,1.0,3.0,185.0,6.0602527552019065,1.0,3.0,3.0,6.0,15.0,2.5,3.0
2023,16340,2,2494398,1.0,3,0.0,1,0,1,0.0,0,4.666666666666666,2,3,3,0,0,1,3,0,5,0,0,0,17,13,3,1,0,1,2,5,0,0.0,1.0,5.7857142857142865,96.0,5.631681326630478,1.0714285714285716,3.8571428571428577,1.9285714285714288,5.7857142857142865,9.642857142857144,1.6666666666666667,5.7857142857142865
2023,16340,2,2678258,1.0,2,0.0,0,0,0,0.0,0,1.0,0,2,2,0,0,0,5,1,3,1,0,1,9,3,1,0,0,0,0,0,1,0.0,,18.0,31.0,15.060252755201907,5.0,0.0,0.0,45.0,27.0,0.6,18.0
2023,16340,2,2678259,1.0,1,1.0,0,0,0,0.0,0,5.0,5,4,4,1,0,1,0,0,9,0,0,0,20,20,0,0,0,0,4,2,4,0.0,,7.2,77.0,2.060252755201906,1.0,9.0,1.8,0.0,16.2,,7.2
2023,16340,2,2678272,1.0,1,0.0,0,0,0,0.0,0,0.3333333333333333,2,2,2,0,0,0,1,0,0,1,0,1,5,2,0,0,0,1,0,1,0,0.0,,54.0,10.0,21.060252755201905,9.0,54.0,0.0,27.0,0.0,0.0,54.0
2023,16340,2,2678273,1.0,2,0.0,0,0,0,0.0,0,7.0,5,0,0,0,0,0,3,0,6,0,0,2,29,26,0,0,0,0,8,7,2,0.0,,0.0,,2.6316813266304777,1.1428571428571428,6.428571428571429,0.0,3.8571428571428568,7.7142857142857135,2.0,0.0
2023,16340,2,2826901,1.0,2,1.0,0,0,0,0.0,0,4.0,3,1,1,0,0,1,3,0,6,0,0,0,17,14,2,2,0,0,2,3,3,0.0,,2.25,246.0,5.5602527552019065,1.5,6.75,2.25,6.75,13.5,2.0,2.25
2023,16340,2,2826910,1.0,1,1.0,1,0,0,0.0,0,5.0,5,2,2,0,0,1,1,0,1,2,0,1,22,19,0,0,0,0,4,9,0,0.0,1.0,3.6,154.0,7.0602527552019065,1.2,9.0,1.8,1.8,1.8,1.0,3.6
2023,16340,2,2826914,1.0,1,0.0,0,0,0,0.0,0,2.0,1,0,0,1,0,0,1,0,1,1,0,0,9,7,0,0,0,0,2,3,0,0.0,,0.0,,5.0602527552019065,1.0,4.5,0.0,4.5,4.5,1.0,0.0
2023,16340,2,2826916,1.0,1,0.0,0,0,0,0.0,0,1.0,0,0,0,0,0,0,2,0,1,0,0,0,5,3,0,0,0,0,0,2,1,0.0,,0.0,,7.0602527552019065,2.0,0.0,0.0,18.0,9.0,0.5,0.0
2023,16340,2,2826927,1.0,1,0.0,0,0,0,0.0,0,1.3333333333333333,2,0,0,0,0,0,1,0,0,0,0,0,7,6,0,0,0,0,3,1,0,0.0,,0.0,,5.3102527552019065,2.25,13.5,0.0,6.75,0.0,0.0,0.0
2023,16340,2,2826935,1.0,1,0.0,0,0,0,0.0,0,0.6666666666666666,2,2,2,1,0,0,1,0,0,0,0,0,5,3,0,0,0,1,1,1,0,0.0,,27.0,21.0,7.5602527552019065,4.5,27.0,0.0,13.5,0.0,0.0,27.0
2023,16340,5,2308188,1.0,2,0.0,1,0,0,0.0,0,4.0,4,1,1,1,0,0,0,0,4,0,0,0,15,15,6,3,0,0,6,1,3,0.0,1.0,2.25,246.0,1.060252755201906,1.0,9.0,0.0,0.0,9.0,,2.25
2023,16340,5,2328921,1.0,2,0.0,0,0,0,0.0,0,3.0,6,7,7,1,0,1,3,0,0,0,0,2,16,13,0,0,0,0,2,4,0,0.0,,21.0,26.0,10.393586088535239,3.0,18.0,3.0,9.0,0.0,0.0,21.0
2023,16340,5,2496142,1.0,1,0.0,1,0,0,0.0,0,1.0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,3,0,0.0,1.0,0.0,,3.060252755201906,0.0,0.0,0.0,0.0,0.0,,0.0
2023,16340,5,2496161,1.0,1,0.0,0,0,0,0.0,0,0.6666666666666666,2,4,4,1,0,0,3,0,0,0,0,3,7,3,2,2,0,1,0,2,0,0.0,,54.0,10.0,16.560252755201905,7.5,27.0,0.0,40.5,0.0,0.0,54.0
2023,16340,5,2496193,1.0,1,1.0,0,0,0,0.0,0,3.0,3,4,4,0,0,0,4,0,1,0,0,0,16,12,0,0,0,0,2,6,0,0.0,,12.0,46.0,6.39358608853524,2.3333333333333335,9.0,0.0,12.0,3.0,0.25,12.0
